ProviderName,NHG,CountryCode,LoanType,ValidSince,Period,ProductName,Rate,CoverageEnd,CoverageStart,CheckDate
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.69,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.64,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.69,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.74,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.79,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,1 ,INGAnnuïteitenhypotheek,1.84,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,1.72,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,1.67,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,1.72,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,1.77,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,1.82,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,2 ,INGAnnuïteitenhypotheek,1.87,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,1.74,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,1.69,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,1.74,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,1.79,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,1.84,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,3 ,INGAnnuïteitenhypotheek,1.89,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,1.8,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,1.75,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,1.8,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,1.85,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,1.9,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,5 ,INGAnnuïteitenhypotheek,1.95,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,1.84,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,1.79,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,1.84,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,1.89,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,1.94,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,6 ,INGAnnuïteitenhypotheek,1.99,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,1.87,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,1.82,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,1.87,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,1.92,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,1.97,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,7 ,INGAnnuïteitenhypotheek,2.02,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.04,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,1.94,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,1.99,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.04,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.09,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,10 ,INGAnnuïteitenhypotheek,2.14,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.6,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.55,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.6,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.65,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.7,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,12 ,INGAnnuïteitenhypotheek,2.75,75,,2017-10-22
ING,Y,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.65,,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.6,55,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.65,60,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.7,65,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.75,70,,2017-10-22
ING,N,NL,Annuïteitenhypotheek,2017-10-13,15 ,INGAnnuïteitenhypotheek,2.8,75,,2017-10-22
